# L=200000, N=100000, PBC, precision=1000, alpha=2.0 
# l    S1    S1_OP    S_alpha    S_alpha_OP(1)    sigma2 H2 navge_alpha S_alpha_OP(3) S_alpha_OP(4) S_alpha_OP(5) 
60 2.090843806855005E+00 8.912951188478749E-01 1.599027483915526E+00 5.400939313099583E-01 6.448749850217481E-01 1.046497508676410E+00 2.999999999999999E+01 5.395677201040375E-01 5.395677201040375E-01 5.398332648744441E-01 
66 2.122614660944548E+00 9.156313826366474E-01 1.623026387782022E+00 5.566442384992257E-01 6.545327353414963E-01 1.054072817934857E+00 3.299999999999999E+01 5.561245931066367E-01 5.561245931066367E-01 5.563868452404964E-01 
73 2.156216913314884E+00 9.414856575930776E-01 1.651521557786706E+00 5.742565449059610E-01 6.647565938434240E-01 1.066206283721444E+00 3.649999999999999E+01 5.737502741427984E-01 5.737502741427984E-01 5.740060930719438E-01 
81 2.190880722049809E+00 9.682847701824649E-01 1.677363234416079E+00 5.925550175808286E-01 6.752917599822837E-01 1.073775492150525E+00 4.049999999999999E+01 5.920547042790064E-01 5.920547042790064E-01 5.923074931003605E-01 
90 2.226001355824847E+00 9.955634065748045E-01 1.701022879969589E+00 6.112201868375495E-01 6.859597747550912E-01 1.077879949416773E+00 4.499999999999999E+01 6.107215086828604E-01 6.107215086828604E-01 6.109732266344814E-01 
99 2.257771749752291E+00 1.020340227414561E+00 1.727272754137336E+00 6.281970793325454E-01 6.956222376858222E-01 1.088107428628016E+00 4.949999999999999E+01 6.277085361079077E-01 6.277085361079077E-01 6.279553440780497E-01 
110 2.292892213370602E+00 1.047845570297086E+00 1.751419855296970E+00 6.470816146370787E-01 7.062926393662882E-01 1.092647024572727E+00 5.499999999999999E+01 6.465961776249439E-01 6.465961776249439E-01 6.468412301709443E-01 
121 2.324662477619718E+00 1.072823019948032E+00 1.777229435954487E+00 6.642543374003755E-01 7.159532709823802E-01 1.102087060852799E+00 6.049999999999999E+01 6.637777729514535E-01 6.637777729514535E-01 6.640184999276781E-01 
134 2.358679060523202E+00 1.099669774907459E+00 1.800944709793575E+00 6.827447728473910E-01 7.262897614566274E-01 1.106724075887319E+00 6.699999999999999E+01 6.822721012873312E-01 6.822721012873312E-01 6.825107203175274E-01 
148 2.391803331684065E+00 1.125908706050870E+00 1.825868079040816E+00 7.008423635493673E-01 7.363584511479127E-01 1.113654088423439E+00 7.399999999999999E+01 7.003760195431151E-01 7.003760195431151E-01 7.006114472933962E-01 
