# L=200, N=100, precision=54, alpha=2.0 
#      l                      S1                   S1_OP                 S_alpha           S_alpha_OP(1)                sigma2_n                 H_alpha             navge_alpha           S_alpha_OP(3)           S_alpha_OP(4)           S_alpha_OP(5)
      30      1.847363505437E+00      7.087951218599E-01      1.414404370101E+00      4.171621864814E-01      5.708522555460E-01      9.836829539481E-01      1.500000000000E+01      4.165835948281E-01      4.165835948281E-01      4.168752722260E-01
      31      1.857445363278E+00      7.161746494009E-01      1.429746563285E+00      4.220547424723E-01      5.739746026554E-01      9.967307831422E-01      1.550000000000E+01      4.215078765816E-01      4.215078765816E-01      4.217844767747E-01
      32      1.867151303476E+00      7.233395029086E-01      1.429466389567E+00      4.268710451418E-01      5.768685957930E-01      9.891393707614E-01      1.600000000000E+01      4.262969280958E-01      4.262969280958E-01      4.265863828785E-01
      33      1.876502608537E+00      7.302107897028E-01      1.443820972594E+00      4.314358082516E-01      5.797625889305E-01      1.001395309104E+00      1.650000000000E+01      4.308906048496E-01      4.308906048496E-01      4.311663414522E-01
      34      1.885518642063E+00      7.368886173284E-01      1.443436106654E+00      4.359308364031E-01      5.824528988997E-01      9.941430747244E-01      1.700000000000E+01      4.353608330830E-01      4.353608330830E-01      4.356482428590E-01
      35      1.894217070975E+00      7.433025455556E-01      1.456914837488E+00      4.401994108211E-01      5.851432088688E-01      1.005702230305E+00      1.750000000000E+01      4.396559173113E-01      4.396559173113E-01      4.399307688743E-01
      36      1.902614056396E+00      7.495408663212E-01      1.456429328523E+00      4.444038333255E-01      5.876503718415E-01      9.987488444935E-01      1.800000000000E+01      4.438376271336E-01      4.438376271336E-01      4.441231478702E-01
      37      1.910724418348E+00      7.555401873830E-01      1.469125592127E+00      4.484028995824E-01      5.901575348142E-01      1.009690603185E+00      1.850000000000E+01      4.478611316898E-01      4.478611316898E-01      4.481350924312E-01
      38      1.918561778472E+00      7.613790603705E-01      1.468542717632E+00      4.523426301224E-01      5.924988196247E-01      1.003001765548E+00      1.900000000000E+01      4.517799404399E-01      4.517799404399E-01      4.520637105207E-01
      39      1.926138684176E+00      7.670000270037E-01      1.480535340225E+00      4.560949090905E-01      5.948401044352E-01      1.013393085638E+00      1.950000000000E+01      4.555548596807E-01      4.555548596807E-01      4.558279350861E-01
      40      1.933466717054E+00      7.724735231842E-01      1.479857752962E+00      4.597920338049E-01      5.970301632748E-01      1.006939350204E+00      2.000000000000E+01      4.592326096358E-01      4.592326096358E-01      4.595147529642E-01
      41      1.940556587901E+00      7.777471296125E-01      1.491213875188E+00      4.633170245721E-01      5.992202221144E-01      1.016837238719E+00      2.050000000000E+01      4.627786699605E-01      4.627786699605E-01      4.630508736412E-01
      42      1.947418220252E+00      7.828844556269E-01      1.490443714372E+00      4.667905125321E-01      6.012715864097E-01      1.010593111040E+00      2.100000000000E+01      4.662341275567E-01      4.662341275567E-01      4.665147559697E-01
      43      1.954060824091E+00      7.878373935964E-01      1.501220988874E+00      4.701050649565E-01      6.033229507050E-01      1.020046514034E+00      2.150000000000E+01      4.695683694729E-01      4.695683694729E-01      4.698397208968E-01
      44      1.960492961059E+00      7.926637618879E-01      1.500359965415E+00      4.733713198282E-01      6.052464143345E-01      1.013989747660E+00      2.200000000000E+01      4.728177684960E-01      4.728177684960E-01      4.730969836703E-01
      45      1.966722602329E+00      7.973191672926E-01      1.510608260862E+00      4.764900843103E-01      6.071698779640E-01      1.023041013365E+00      2.250000000000E+01      4.759550036322E-01      4.759550036322E-01      4.762255264704E-01
      46      1.972757180098E+00      8.018564783658E-01      1.509657723436E+00      4.795633780183E-01      6.089747971581E-01      1.017152054872E+00      2.300000000000E+01      4.790124724193E-01      4.790124724193E-01      4.792903673973E-01
      47      1.978603633539E+00      8.062345211899E-01      1.519420462271E+00      4.824991627726E-01      6.107797163523E-01      1.025838080508E+00      2.350000000000E+01      4.819656463789E-01      4.819656463789E-01      4.822353672913E-01
      48      1.984268449889E+00      8.105019046679E-01      1.518381449040E+00      4.853919802228E-01      6.124742470735E-01      1.020099626781E+00      2.400000000000E+01      4.848435475518E-01      4.848435475518E-01      4.851202079786E-01
      49      1.989757701298E+00      8.146202600862E-01      1.527696669527E+00      4.881560379538E-01      6.141687777946E-01      1.028452767734E+00      2.450000000000E+01      4.876240309414E-01      4.876240309414E-01      4.878929786797E-01
      50      1.995077077936E+00      8.186345082201E-01      1.526569948916E+00      4.908793538359E-01      6.157600655767E-01      1.022849409130E+00      2.500000000000E+01      4.903332343137E-01      4.903332343137E-01      4.906087394515E-01
      51      2.000231917811E+00      8.225087364338E-01      1.535471156951E+00      4.934816138920E-01      6.173513533587E-01      1.030898207265E+00      2.550000000000E+01      4.929510583272E-01      4.929510583272E-01      4.932192630692E-01
      52      2.005227233677E+00      8.262846547033E-01      1.534257260014E+00      4.960451169959E-01      6.188456865578E-01      1.025416137271E+00      2.600000000000E+01      4.955011621478E-01      4.955011621478E-01      4.957755857156E-01
      53      2.010067737364E+00      8.299285098844E-01      1.542774118727E+00      4.984943749543E-01      6.203400197570E-01      1.033185909944E+00      2.650000000000E+01      4.979652108804E-01      4.979652108804E-01      4.982327037357E-01
      54      2.014757861824E+00      8.334792029705E-01      1.541473364920E+00      5.009066514789E-01      6.217429543269E-01      1.027812686829E+00      2.700000000000E+01      5.003647226963E-01      5.003647226963E-01      5.006381335727E-01
      55      2.019301781137E+00      8.369048865637E-01      1.549632257770E+00      5.032107251592E-01      6.231458888968E-01      1.035326007458E+00      2.750000000000E+01      5.026828913483E-01      5.026828913483E-01      5.029497039905E-01
      56      2.023703428700E+00      8.402419934238E-01      1.548244775519E+00      5.054794096600E-01      6.244623507759E-01      1.030050356990E+00      2.800000000000E+01      5.049393769869E-01      5.049393769869E-01      5.052118398023E-01
      57      2.027966513792E+00      8.434603633490E-01      1.556069269730E+00      5.076452684124E-01      6.257788126550E-01      1.037327450334E+00      2.850000000000E+01      5.071187029258E-01      5.071187029258E-01      5.073848673200E-01
      58      2.032094536686E+00      8.465942518260E-01      1.554595012826E+00      5.097771689702E-01      6.270131823822E-01      1.032139101207E+00      2.900000000000E+01      5.092389100717E-01      5.092389100717E-01      5.095104857128E-01
      59      2.036090802448E+00      8.496149964126E-01      1.562106243598E+00      5.118110415052E-01      6.282475521094E-01      1.039198170974E+00      2.950000000000E+01      5.112856821090E-01      5.112856821090E-01      5.115512303101E-01
      60      2.039958433569E+00      8.525549253913E-01      1.560545004214E+00      5.138122441810E-01      6.294037352100E-01      1.034087716505E+00      3.000000000000E+01      5.132756434597E-01      5.132756434597E-01      5.135463895012E-01
      61      2.043700381528E+00      8.553867088724E-01      1.567761995412E+00      5.157197090278E-01      6.305599183106E-01      1.040945218784E+00      3.050000000000E+01      5.151954934984E-01      5.151954934984E-01      5.154604575047E-01
      62      2.047319437402E+00      8.581409641891E-01      1.566113414335E+00      5.175956655376E-01      6.316414041919E-01      1.035903999851E+00      3.100000000000E+01      5.170606133718E-01      5.170606133718E-01      5.173305844493E-01
      63      2.050818241617E+00      8.607915490758E-01      1.573053347849E+00      5.193817273320E-01      6.327228900732E-01      1.042574872860E+00      3.150000000000E+01      5.188585936782E-01      5.188585936782E-01      5.191230053252E-01
      64      2.054199292901E+00      8.633675580402E-01      1.571316922398E+00      5.211373290250E-01      6.337328015703E-01      1.037594878135E+00      3.200000000000E+01      5.206037211058E-01      5.206037211058E-01      5.208729692403E-01
      65      2.057464956531E+00      8.658439085669E-01      1.577995365716E+00      5.228064831547E-01      6.347427130674E-01      1.044092736466E+00      3.250000000000E+01      5.222843697751E-01      5.222843697751E-01      5.225482606617E-01
      66      2.060617471938E+00      8.682483369209E-01      1.576170455712E+00      5.244461237278E-01      6.356838483241E-01      1.039166516813E+00      3.300000000000E+01      5.239138604809E-01      5.239138604809E-01      5.241824353621E-01
      67      2.063658959713E+00      8.705567068764E-01      1.582601555237E+00      5.260024113450E-01      6.366249835809E-01      1.045503816645E+00      3.350000000000E+01      5.254812571367E-01      5.254812571367E-01      5.257446585751E-01
      68      2.066591428076E+00      8.727955412397E-01      1.580687387293E+00      5.275300402347E-01      6.374998516040E-01      1.040624411182E+00      3.400000000000E+01      5.269990263102E-01      5.269990263102E-01      5.272669755465E-01
      69      2.069416778855E+00      8.749415488345E-01      1.586884033403E+00      5.289770952464E-01      6.383747196272E-01      1.046812591596E+00      3.450000000000E+01      5.284568396749E-01      5.284568396749E-01      5.287197826595E-01
      70      2.072136813010E+00      8.770201670640E-01      1.584879703758E+00      5.303962632478E-01      6.391855705810E-01      1.041973463392E+00      3.500000000000E+01      5.298664070699E-01      5.298664070699E-01      5.301337764096E-01
      71      2.074753235754E+00      8.790088589610E-01      1.590853672416E+00      5.317373525824E-01      6.399964215347E-01      1.048023067912E+00      3.550000000000E+01      5.312179357227E-01      5.312179357227E-01      5.314804509126E-01
      72      2.077267661279E+00      8.809320903914E-01      1.588758148480E+00      5.330512509505E-01      6.407452726357E-01      1.043218047695E+00      3.600000000000E+01      5.325224643152E-01      5.325224643152E-01      5.327892978436E-01
      73      2.079681617146E+00      8.827679966247E-01      1.594520223266E+00      5.342893091521E-01      6.414941237366E-01      1.049138829381E+00      3.650000000000E+01      5.337706717068E-01      5.337706717068E-01      5.340327894204E-01
      74      2.081996548342E+00      8.845401737720E-01      1.592332343993E+00      5.355008031994E-01      6.421827814433E-01      1.044362065901E+00      3.700000000000E+01      5.349730009150E-01      5.349730009150E-01      5.352393412312E-01
      75      2.084213821053E+00      8.862273549482E-01      1.597892421707E+00      5.366384622086E-01      6.428714391500E-01      1.050163078674E+00      3.750000000000E+01      5.361205455086E-01      5.361205455086E-01      5.363822957257E-01
      76      2.086334726150E+00      8.878523579746E-01      1.595610896902E+00      5.377501202288E-01      6.435015182129E-01      1.045408994626E+00      3.800000000000E+01      5.372232197911E-01      5.372232197911E-01      5.374891081680E-01
      77      2.088360482425E+00      8.893944459013E-01      1.600978079314E+00      5.387897350516E-01      6.441315972759E-01      1.051098673065E+00      3.850000000000E+01      5.382724810427E-01      5.382724810427E-01      5.385338934139E-01
      78      2.090292239595E+00      8.908757408945E-01      1.598601487933E+00      5.398038532464E-01      6.447045371082E-01      1.046361925644E+00      3.900000000000E+01      5.392777745450E-01      5.392777745450E-01      5.395432510734E-01
      79      2.092131081084E+00      8.922759735737E-01      1.603784161786E+00      5.407475240888E-01      6.452774769406E-01      1.051948155036E+00      3.950000000000E+01      5.402308753083E-01      5.402308753083E-01      5.404919791689E-01
      80      2.093878026596E+00      8.936166455134E-01      1.601310949273E+00      5.416661480569E-01      6.457945556886E-01      1.047223600365E+00      4.000000000000E+01      5.411408131065E-01      5.411408131065E-01      5.414059168274E-01
      81      2.095534034509E+00      8.948778972683E-01      1.606316856290E+00      5.425157394008E-01      6.463116344367E-01      1.052713778540E+00      4.050000000000E+01      5.419996389453E-01      5.419996389453E-01      5.422604633340E-01
      82      2.097100004078E+00      8.960806783911E-01      1.603745330978E+00      5.433406826480E-01      6.467739810611E-01      1.047996439300E+00      4.100000000000E+01      5.428160153421E-01      5.428160153421E-01      5.430807843684E-01
      83      2.098576777484E+00      8.972054857661E-01      1.608581629318E+00      5.440978396625E-01      6.472363276855E-01      1.053397531491E+00      4.150000000000E+01      5.435822311503E-01      5.435822311503E-01      5.438428048295E-01
      84      2.099965141717E+00      8.982727799214E-01      1.605909957898E+00      5.448306995133E-01      6.476449323088E-01      1.048682567219E+00      4.200000000000E+01      5.443066253969E-01      5.443066253969E-01      5.445710970251E-01
      85      2.101265830316E+00      8.992633638774E-01      1.610583276270E+00      5.454968621263E-01      6.480535369321E-01      1.054001154997E+00      4.250000000000E+01      5.449816896542E-01      5.449816896542E-01      5.452420411339E-01
      86      2.102479524978E+00      9.001972673615E-01      1.607809478322E+00      5.461390333519E-01      6.484092596648E-01      1.049283834559E+00      4.300000000000E+01      5.456154794098E-01      5.456154794098E-01      5.458796902247E-01
      87      2.103606857018E+00      9.010555522022E-01      1.612325963764E+00      5.467154482517E-01      6.487649823976E-01      1.054526159735E+00      4.350000000000E+01      5.462006563484E-01      5.462006563484E-01      5.464608139109E-01
      88      2.104648408728E+00      9.018578714738E-01      1.609447905314E+00      5.472681346733E-01      6.490685608161E-01      1.049801835555E+00      4.400000000000E+01      5.467450291321E-01      5.467450291321E-01      5.470090151044E-01
