# L=1000, N=500, precision=1000, alpha=2.0 
#      l                      S1                   S1_OP                 S_alpha           S_alpha_OP(1)                sigma2_n                 H_alpha             navge_alpha           S_alpha_OP(3)           S_alpha_OP(4)           S_alpha_OP(5)
       5      1.261766799161E+00      3.090116757500E-01      1.003520979170E+00      1.600988173884E-01      3.943948936580E-01      8.363675123445E-01      2.500000000000E+00      1.597009114088E-01      1.597009114088E-01      1.599029156175E-01
       6      1.322797055652E+00      3.481606954174E-01      1.007379920438E+00      1.846671531486E-01      4.111290130487E-01      8.054580022454E-01      3.000000000000E+00      1.839282813636E-01      1.839282813636E-01      1.842993468854E-01
       7      1.374317022196E+00      3.803996726995E-01      1.080674026348E+00      2.039882836653E-01      4.278631324394E-01      8.683444194528E-01      3.500000000000E+00      2.035196126941E-01      2.035196126941E-01      2.037573812720E-01
       8      1.418907866782E+00      4.099285044978E-01      1.083515776470E+00      2.228928420006E-01      4.404610265829E-01      8.441722696789E-01      4.000000000000E+00      2.221930840042E-01      2.221930840042E-01      2.225446797523E-01
       9      1.458218626792E+00      4.355102424603E-01      1.139661343384E+00      2.386724916603E-01      4.530589207264E-01      8.918667370466E-01      4.500000000000E+00      2.381662076856E-01      2.381662076856E-01      2.384229073065E-01
      10      1.493369902352E+00      4.593143139110E-01      1.141906242871E+00      2.540880275199E-01      4.631543904759E-01      8.719608997962E-01      5.000000000000E+00      2.534145529424E-01      2.534145529424E-01      2.537531289381E-01
      11      1.525158807164E+00      4.805555224167E-01      1.187395030297E+00      2.674290950468E-01      4.732498602253E-01      9.103316298794E-01      5.500000000000E+00      2.669017321656E-01      2.669017321656E-01      2.671689913980E-01
      12      1.554172882506E+00      5.005359946239E-01      1.189247644515E+00      2.804703881128E-01      4.816699328407E-01      8.933779238252E-01      6.000000000000E+00      2.798161637440E-01      2.798161637440E-01      2.801452287666E-01
      13      1.580857780000E+00      5.187156814467E-01      1.227475137555E+00      2.920333374223E-01      4.900900054561E-01      9.254525446218E-01      6.500000000000E+00      2.914938594381E-01      2.914938594381E-01      2.917671523568E-01
      14      1.605559609490E+00      5.359528204206E-01      1.229050121038E+00      3.033500734105E-01      4.973103439203E-01      9.106672003922E-01      7.000000000000E+00      3.027108373496E-01      3.027108373496E-01      3.030325052347E-01
      16      1.650057567370E+00      5.670231249108E-01      1.263381057858E+00      3.235642341055E-01      5.108497211424E-01      9.250856761582E-01      8.000000000000E+00      3.229371948121E-01      3.229371948121E-01      3.232528441453E-01
      18      1.689295197474E+00      5.947130563926E-01      1.293560105934E+00      3.416802359277E-01      5.227859469492E-01      9.374027438073E-01      9.000000000000E+00      3.410634503604E-01      3.410634503604E-01      3.413740377577E-01
      20      1.724383601572E+00      6.196964893982E-01      1.320480833463E+00      3.581004845258E-01      5.334583177074E-01      9.481210237306E-01      1.000000000000E+01      3.574925336144E-01      3.574925336144E-01      3.577987562879E-01
      22      1.756114905745E+00      6.424625450502E-01      1.344776271812E+00      3.731208588756E-01      5.431085113770E-01      9.575856398120E-01      1.100000000000E+01      3.725206654974E-01      3.725206654974E-01      3.728230519874E-01
      24      1.785073789175E+00      6.633777168021E-01      1.366911201834E+00      3.869653631957E-01      5.519147970772E-01      9.660430958587E-01      1.200000000000E+01      3.863720837995E-01      3.863720837995E-01      3.866710477655E-01
      27      1.824256994121E+00      6.918498607919E-01      1.405275955466E+00      4.058392396798E-01      5.638988337419E-01      9.885330572641E-01      1.350000000000E+01      4.052896969130E-01      4.052896969130E-01      4.055676940309E-01
      30      1.859287725621E+00      7.175507459074E-01      1.423491386926E+00      4.230093602016E-01      5.744804312026E-01      9.869826698639E-01      1.500000000000E+01      4.224332115993E-01      4.224332115993E-01      4.227236787124E-01
      33      1.890957317248E+00      7.408880026046E-01      1.454512835299E+00      4.385867796964E-01      5.841557168265E-01      1.004914410027E+00      1.650000000000E+01      4.380427018532E-01      4.380427018532E-01      4.383178535050E-01
