# logL =3000,NumOfEigs=33626,alpha=0.5, threshold = 10e-12 
# ================================================================
# n  P(n) P(n)^alpha  P(n)_alpha 
0 0.000000000000000E+00 0.000000000000000E+00 2.832100871653033E-101316 
1 0.000000000000000E+00 0.000000000000000E+00 1.724586859025854E-101301 
2 0.000000000000000E+00 0.000000000000000E+00 5.246557165065593E-101287 
3 0.000000000000000E+00 0.000000000000000E+00 1.063200975529781E-101272 
4 0.000000000000000E+00 0.000000000000000E+00 1.614582975787536E-101258 
5 0.000000000000000E+00 0.000000000000000E+00 1.959918636911634E-101244 
6 0.000000000000000E+00 0.000000000000000E+00 1.980966159795045E-101230 
7 0.000000000000000E+00 0.000000000000000E+00 1.714793267532697E-101216 
8 0.000000000000000E+00 0.000000000000000E+00 1.297767598071599E-101202 
9 0.000000000000000E+00 0.000000000000000E+00 8.723120150903444E-101189 
10 0.000000000000000E+00 0.000000000000000E+00 5.272680876869179E-101175 
11 0.000000000000000E+00 0.000000000000000E+00 2.894946431803454E-101161 
12 0.000000000000000E+00 0.000000000000000E+00 1.455804360730159E-101147 
13 0.000000000000000E+00 0.000000000000000E+00 6.752199972228882E-101134 
14 0.000000000000000E+00 0.000000000000000E+00 2.905659343485337E-101120 
15 0.000000000000000E+00 0.000000000000000E+00 1.166064519045630E-101106 
16 0.000000000000000E+00 0.000000000000000E+00 4.383422679411143E-101093 
17 0.000000000000000E+00 0.000000000000000E+00 1.549589597068087E-101079 
18 0.000000000000000E+00 0.000000000000000E+00 5.169372922889196E-101066 
19 0.000000000000000E+00 0.000000000000000E+00 1.632372444405548E-101052 
20 0.000000000000000E+00 0.000000000000000E+00 4.892890193913735E-101039 
21 0.000000000000000E+00 0.000000000000000E+00 1.395608175845457E-101025 
22 0.000000000000000E+00 0.000000000000000E+00 3.796637883186891E-101012 
23 0.000000000000000E+00 0.000000000000000E+00 9.871215159013456E-100999 
24 0.000000000000000E+00 0.000000000000000E+00 2.457533692491409E-100985 
25 0.000000000000000E+00 0.000000000000000E+00 5.868678322749189E-100972 
26 0.000000000000000E+00 0.000000000000000E+00 1.346444393199302E-100958 
27 0.000000000000000E+00 0.000000000000000E+00 2.972259039100412E-100945 
28 0.000000000000000E+00 0.000000000000000E+00 6.321658911081067E-100932 
29 0.000000000000000E+00 0.000000000000000E+00 1.297107092893944E-100918 
30 0.000000000000000E+00 0.000000000000000E+00 2.570618285280263E-100905 
31 0.000000000000000E+00 0.000000000000000E+00 4.926052706493043E-100892 
32 0.000000000000000E+00 0.000000000000000E+00 9.137182022098915E-100879 
33 0.000000000000000E+00 0.000000000000000E+00 1.642107121548393E-100865 
34 0.000000000000000E+00 0.000000000000000E+00 2.861973214532297E-100852 
35 0.000000000000000E+00 0.000000000000000E+00 4.841503716286256E-100839 
36 0.000000000000000E+00 0.000000000000000E+00 7.956098877328124E-100826 
37 0.000000000000000E+00 0.000000000000000E+00 1.271043479677363E-100812 
38 0.000000000000000E+00 0.000000000000000E+00 1.975505432618929E-100799 
39 0.000000000000000E+00 0.000000000000000E+00 2.989196051670229E-100786 
40 0.000000000000000E+00 0.000000000000000E+00 4.406303934991583E-100773 
41 0.000000000000000E+00 0.000000000000000E+00 6.331546498033643E-100760 
42 0.000000000000000E+00 0.000000000000000E+00 8.873986932405197E-100747 
43 0.000000000000000E+00 0.000000000000000E+00 1.213801231448833E-100733 
44 0.000000000000000E+00 0.000000000000000E+00 1.621179165927702E-100720 
45 0.000000000000000E+00 0.000000000000000E+00 2.115404340715950E-100707 
46 0.000000000000000E+00 0.000000000000000E+00 2.698044616873889E-100694 
47 0.000000000000000E+00 0.000000000000000E+00 3.365142162277207E-100681 
48 0.000000000000000E+00 0.000000000000000E+00 4.106320152748209E-100668 
49 0.000000000000000E+00 0.000000000000000E+00 4.904398352713393E-100655 
50 0.000000000000000E+00 0.000000000000000E+00 5.735655134166698E-100642 
51 0.000000000000000E+00 0.000000000000000E+00 6.570801384038071E-100629 
52 0.000000000000000E+00 0.000000000000000E+00 7.376639706349969E-100616 
53 0.000000000000000E+00 0.000000000000000E+00 8.118284570747581E-100603 
54 0.000000000000000E+00 0.000000000000000E+00 8.761732179869526E-100590 
55 0.000000000000000E+00 0.000000000000000E+00 9.276508456849888E-100577 
56 0.000000000000000E+00 0.000000000000000E+00 9.638101102592962E-100564 
57 0.000000000000000E+00 0.000000000000000E+00 9.829901898894953E-100551 
58 0.000000000000000E+00 0.000000000000000E+00 9.844445426918422E-100538 
59 0.000000000000000E+00 0.000000000000000E+00 9.683820176078820E-100525 
60 0.000000000000000E+00 0.000000000000000E+00 9.359232725495937E-100512 
61 0.000000000000000E+00 0.000000000000000E+00 8.889808447767229E-100499 
62 0.000000000000000E+00 0.000000000000000E+00 8.300797486034962E-100486 
63 0.000000000000000E+00 0.000000000000000E+00 7.621411123440556E-100473 
64 0.000000000000000E+00 0.000000000000000E+00 6.882535398748728E-100460 
65 0.000000000000000E+00 0.000000000000000E+00 6.114556403791345E-100447 
66 0.000000000000000E+00 0.000000000000000E+00 5.345490976679713E-100434 
67 0.000000000000000E+00 0.000000000000000E+00 4.599556983283778E-100421 
68 0.000000000000000E+00 0.000000000000000E+00 3.896250074078198E-100408 
69 0.000000000000000E+00 0.000000000000000E+00 3.249929161288047E-100395 
70 0.000000000000000E+00 0.000000000000000E+00 2.669859136884218E-100382 
71 0.000000000000000E+00 0.000000000000000E+00 2.160621668550354E-100369 
72 0.000000000000000E+00 0.000000000000000E+00 1.722785051276772E-100356 
73 0.000000000000000E+00 0.000000000000000E+00 1.353720909551294E-100343 
74 0.000000000000000E+00 0.000000000000000E+00 1.048465780695392E-100330 
75 0.000000000000000E+00 0.000000000000000E+00 8.005448794881603E-100318 
76 0.000000000000000E+00 0.000000000000000E+00 6.026990735983156E-100305 
77 0.000000000000000E+00 0.000000000000000E+00 4.474802569948917E-100292 
