# logL =3000,NumOfEigs=16812,alpha=2.0, threshold = 10e-12 
# ================================================================
# n  P(n) P(n)^alpha  P(n)_alpha 
0 1.682128289692908E-50652 1.749549064401943E-101302 0.000000000000000E+00 
1 5.113195711909228E-50638 1.616563351746338E-101273 0.000000000000000E+00 
2 7.758564619902945E-50624 3.721951076011312E-101245 0.000000000000000E+00 
3 7.835457462043532E-50610 3.796090969104775E-101217 0.000000000000000E+00 
4 5.925069844136752E-50596 2.170675203252203E-101189 0.000000000000000E+00 
5 3.578467399035097E-50582 7.917754410407330E-101162 0.000000000000000E+00 
6 1.798057209707603E-50568 1.999009731865505E-101134 0.000000000000000E+00 
7 7.731199174132354E-50555 3.695741788256840E-101107 0.000000000000000E+00 
8 2.903899519889679E-50541 5.214000478519713E-101080 0.000000000000000E+00 
9 9.679361466078319E-50528 5.792970457849364E-101053 0.000000000000000E+00 
10 2.898924290953525E-50514 5.196149568907094E-101026 0.000000000000000E+00 
11 7.879823576093118E-50501 3.839201308316266E-100999 0.000000000000000E+00 
12 1.960149985875481E-50487 2.375672138609395E-100972 0.000000000000000E+00 
13 4.493465030373624E-50474 1.248448492496152E-100945 0.000000000000000E+00 
14 9.549259892736570E-50461 5.638288880167636E-100919 0.000000000000000E+00 
15 1.890929833956258E-50447 2.210847183881702E-100892 0.000000000000000E+00 
16 3.504552554244039E-50434 7.594042982572904E-100866 0.000000000000000E+00 
17 6.102961025687604E-50421 2.302974291309866E-100839 0.000000000000000E+00 
18 1.002084711663541E-50407 6.208930085089319E-100813 0.000000000000000E+00 
19 1.556202804086040E-50394 1.497408464948103E-100786 0.000000000000000E+00 
20 2.292082145720133E-50381 3.248390661239307E-100760 0.000000000000000E+00 
21 3.209837859158732E-50368 6.370508317963161E-100734 0.000000000000000E+00 
22 4.283615351724438E-50355 1.134563556760552E-100707 0.000000000000000E+00 
23 5.458962761981138E-50342 1.842587669002041E-100681 0.000000000000000E+00 
24 6.655848838953194E-50329 2.739143576655946E-100655 0.000000000000000E+00 
25 7.777583263145116E-50316 3.740220749053304E-100629 0.000000000000000E+00 
26 8.724264534773867E-50303 4.706147645968055E-100603 0.000000000000000E+00 
27 9.408024763900760E-50290 5.472739805107150E-100577 0.000000000000000E+00 
28 9.766732790834740E-50277 5.898023638048237E-100551 0.000000000000000E+00 
29 9.773166500368405E-50264 5.905796691739515E-100525 0.000000000000000E+00 
30 9.437842943908050E-50251 5.507485833259870E-100499 0.000000000000000E+00 
31 8.805298387102187E-50238 4.793978169228217E-100473 0.000000000000000E+00 
32 7.945130893593963E-50225 3.903102978812815E-100447 0.000000000000000E+00 
33 6.940130145936049E-50212 2.978126398533777E-100421 0.000000000000000E+00 
34 5.874113664720062E-50199 2.133499712480847E-100395 0.000000000000000E+00 
35 4.821705812382297E-50186 1.437504838530875E-100369 0.000000000000000E+00 
36 3.841465919489242E-50173 9.124348530249659E-100344 0.000000000000000E+00 
37 2.972802205927074E-50160 5.464367831466659E-100318 0.000000000000000E+00 
38 2.236272685051919E-50147 3.092127656060751E-100292 0.000000000000000E+00 
