# logL =3000,NumOfEigs=16812,alpha=1.5, threshold = 10e-12 
# ================================================================
# n  P(n) P(n)^alpha  P(n)_alpha 
0 1.682128289692908E-50652 1.766772989675924E-75977 0.000000000000000E+00 
1 5.113195711909228E-50638 9.363338046410047E-75956 0.000000000000000E+00 
2 7.758564619902945E-50624 1.750105185141596E-75934 0.000000000000000E+00 
3 7.835457462043532E-50610 1.776186704450826E-75913 0.000000000000000E+00 
4 5.925069844136752E-50596 1.167971620129142E-75892 0.000000000000000E+00 
5 3.578467399035097E-50582 5.481982900499871E-75872 0.000000000000000E+00 
6 1.798057209707603E-50568 1.952528301991518E-75851 0.000000000000000E+00 
7 7.731199174132354E-50555 5.505063994314545E-75831 0.000000000000000E+00 
8 2.903899519889679E-50541 1.267256292644168E-75810 0.000000000000000E+00 
9 9.679361466078319E-50528 2.438721133005271E-75790 0.000000000000000E+00 
10 2.898924290953525E-50514 3.997121862759869E-75770 0.000000000000000E+00 
11 7.879823576093118E-50501 5.664568332136824E-75750 0.000000000000000E+00 
12 1.960149985875481E-50487 7.027907466697932E-75730 0.000000000000000E+00 
13 4.493465030373624E-50474 7.713724582116353E-75710 0.000000000000000E+00 
14 9.549259892736570E-50461 7.556951743171535E-75690 0.000000000000000E+00 
15 1.890929833956258E-50447 6.658941505905801E-75670 0.000000000000000E+00 
16 3.504552554244039E-50434 5.313013808020376E-75650 0.000000000000000E+00 
17 6.102961025687604E-50421 3.861028201543137E-75630 0.000000000000000E+00 
18 1.002084711663541E-50407 2.568909078670327E-75610 0.000000000000000E+00 
19 1.556202804086040E-50394 1.572140549205186E-75590 0.000000000000000E+00 
20 2.292082145720133E-50381 8.886635072851903E-75571 0.000000000000000E+00 
21 3.209837859158732E-50368 4.657112420561631E-75551 0.000000000000000E+00 
22 4.283615351724438E-50355 2.270428232429034E-75531 0.000000000000000E+00 
23 5.458962761981138E-50342 1.032897620019141E-75511 0.000000000000000E+00 
24 6.655848838953194E-50329 4.397412982282018E-75492 0.000000000000000E+00 
25 7.777583263145116E-50316 1.756544201349182E-75472 0.000000000000000E+00 
26 8.724264534773867E-50303 6.599109238603254E-75453 0.000000000000000E+00 
27 9.408024763900760E-50290 2.336897999858166E-75433 0.000000000000000E+00 
28 9.766732790834740E-50277 7.816566697208180E-75414 0.000000000000000E+00 
29 9.773166500368405E-50264 2.474258241663077E-75394 0.000000000000000E+00 
30 9.437842943908050E-50251 7.425081037711495E-75375 0.000000000000000E+00 
31 8.805298387102187E-50238 2.115963614442980E-75355 0.000000000000000E+00 
32 7.945130893593963E-50225 5.735135243967616E-75336 0.000000000000000E+00 
33 6.940130145936049E-50212 1.480619623708138E-75316 0.000000000000000E+00 
34 5.874113664720062E-50199 3.645907096120285E-75297 0.000000000000000E+00 
35 4.821705812382297E-50186 8.574190784453224E-75278 0.000000000000000E+00 
36 3.841465919489242E-50173 1.928135522967805E-75258 0.000000000000000E+00 
37 2.972802205927074E-50160 4.150888817878552E-75239 0.000000000000000E+00 
38 2.236272685051919E-50147 8.564050464316178E-75220 0.000000000000000E+00 
39 1.636340538622439E-50134 1.695128452845309E-75200 0.000000000000000E+00 
40 1.165461795588884E-50121 3.222100939860076E-75181 0.000000000000000E+00 
41 8.084793716262037E-50109 5.887019766986520E-75162 0.000000000000000E+00 
42 5.465682948738618E-50096 1.034805510128909E-75142 0.000000000000000E+00 
43 3.603050893346853E-50083 1.751449718719642E-75123 0.000000000000000E+00 
44 2.317295294323634E-50070 2.856696802066577E-75104 0.000000000000000E+00 
45 1.454793587399094E-50057 4.493597260646241E-75085 0.000000000000000E+00 
46 8.919582369073602E-50045 6.821955146296658E-75066 0.000000000000000E+00 
47 5.343375660038741E-50032 1.000266308232342E-75046 0.000000000000000E+00 
48 3.129040588431401E-50019 1.417453674179751E-75027 0.000000000000000E+00 
49 1.791922130351786E-50006 1.942543615187287E-75008 0.000000000000000E+00 
50 1.003968403174266E-49993 2.576155929448326E-74989 0.000000000000000E+00 
