# logL =3000,NumOfEigs=16812,alpha=5.0, threshold = 10e-12 
# ================================================================
# n  P(n) P(n)^alpha  P(n)_alpha 
0 1.682128289692908E-50652 1.100404029397593E-253252 0.000000000000000E+00 
1 5.113195711909228E-50638 2.855740090066241E-253180 0.000000000000000E+00 
2 7.758564619902945E-50624 2.297013282385776E-253109 0.000000000000000E+00 
3 7.835457462043532E-50610 2.413117028208053E-253039 0.000000000000000E+00 
4 5.925069844136752E-50596 5.966559403897192E-252970 0.000000000000000E+00 
5 3.578467399035097E-50582 4.794484547620514E-252901 0.000000000000000E+00 
6 1.798057209707603E-50568 1.535585940482283E-252832 0.000000000000000E+00 
7 7.731199174132354E-50555 2.256788746802230E-252764 0.000000000000000E+00 
8 2.903899519889679E-50541 1.687192059624734E-252696 0.000000000000000E+00 
9 9.679361466078319E-50528 6.942088413512186E-252629 0.000000000000000E+00 
10 2.898924290953525E-50514 1.672788233644521E-252561 0.000000000000000E+00 
11 7.879823576093118E-50501 2.482213129242558E-252494 0.000000000000000E+00 
12 1.960149985875481E-50487 2.364302911881396E-252427 0.000000000000000E+00 
13 4.493465030373624E-50474 1.496798810291109E-252360 0.000000000000000E+00 
14 9.549259892736570E-50461 6.487915195806878E-252294 0.000000000000000E+00 
15 1.890929833956258E-50447 1.975302747924059E-252227 0.000000000000000E+00 
16 3.504552554244039E-50434 4.319360808738010E-252161 0.000000000000000E+00 
17 6.102961025687604E-50421 6.917665860360005E-252095 0.000000000000000E+00 
18 1.002084711663541E-50407 8.256172912443246E-252029 0.000000000000000E+00 
19 1.556202804086040E-50394 7.457402188296061E-251963 0.000000000000000E+00 
20 2.292082145720133E-50381 5.169011391680899E-251897 0.000000000000000E+00 
21 3.209837859158732E-50368 2.784018224356066E-251831 0.000000000000000E+00 
22 4.283615351724438E-50355 1.178443946617249E-251765 0.000000000000000E+00 
23 5.458962761981138E-50342 3.961022024423733E-251700 0.000000000000000E+00 
24 6.655848838953194E-50329 1.067268886483768E-251634 0.000000000000000E+00 
25 7.777583263145116E-50316 2.325305099322756E-251569 0.000000000000000E+00 
26 8.724264534773867E-50303 4.129530960751655E-251504 0.000000000000000E+00 
27 9.408024763900760E-50290 6.022112406829861E-251439 0.000000000000000E+00 
28 9.766732790834740E-50277 7.261111873188378E-251374 0.000000000000000E+00 
29 9.773166500368405E-50264 7.285059222428714E-251309 0.000000000000000E+00 
30 9.437842943908050E-50251 6.118152921606952E-251244 0.000000000000000E+00 
31 8.805298387102187E-50238 4.324909121471046E-251179 0.000000000000000E+00 
32 7.945130893593963E-50225 2.586794212201339E-251114 0.000000000000000E+00 
33 6.940130145936049E-50212 1.315511569036592E-251049 0.000000000000000E+00 
34 5.874113664720062E-50199 5.714369614021962E-250985 0.000000000000000E+00 
35 4.821705812382297E-50186 2.129414191108407E-250920 0.000000000000000E+00 
36 3.841465919489242E-50173 6.835047250311370E-250856 0.000000000000000E+00 
37 2.972802205927074E-50160 1.897084479974725E-250791 0.000000000000000E+00 
38 2.236272685051919E-50147 4.569623234003794E-250727 0.000000000000000E+00 
39 1.636340538622439E-50134 9.585726791987300E-250663 0.000000000000000E+00 
40 1.165461795588884E-50121 1.756899044854435E-250598 0.000000000000000E+00 
41 8.084793716262037E-50109 2.822287907411337E-250534 0.000000000000000E+00 
42 5.465682948738618E-50096 3.985462954997091E-250470 0.000000000000000E+00 
43 3.603050893346853E-50083 4.961449568393479E-250406 0.000000000000000E+00 
44 2.317295294323634E-50070 5.459633586930480E-250342 0.000000000000000E+00 
45 1.454793587399094E-50057 5.324311897859636E-250278 0.000000000000000E+00 
46 8.919582369073602E-50045 4.612954810880099E-250214 0.000000000000000E+00 
47 5.343375660038741E-50032 3.559058589320910E-250150 0.000000000000000E+00 
48 3.129040588431401E-50019 2.450826578254775E-250086 0.000000000000000E+00 
49 1.791922130351786E-50006 1.509566548831990E-250022 0.000000000000000E+00 
50 1.003968403174266E-49993 8.334063840316655E-249959 0.000000000000000E+00 
51 5.505379917623939E-49981 4.132311670867259E-249895 0.000000000000000E+00 
52 2.955884736887259E-49968 1.843716206040897E-249831 0.000000000000000E+00 
53 1.554464821101229E-49955 7.415852588192768E-249768 0.000000000000000E+00 
54 8.009801413691261E-49943 2.693799960280230E-249704 0.000000000000000E+00 
55 4.045373427517398E-49930 8.852168770324687E-249641 0.000000000000000E+00 
56 2.003247944113166E-49917 2.635907262946867E-249577 0.000000000000000E+00 
57 9.729446450812840E-49905 7.123562825355330E-249514 0.000000000000000E+00 
58 4.636093617156083E-49892 1.749917538596876E-249450 0.000000000000000E+00 
59 2.167981791092162E-49879 3.913224369302367E-249387 0.000000000000000E+00 
60 9.952285371798674E-49867 7.977571414240684E-249324 0.000000000000000E+00 
61 4.486152490210091E-49854 1.484659142144185E-249260 0.000000000000000E+00 
62 1.986212011374694E-49841 2.525716594998111E-249197 0.000000000000000E+00 
63 8.639530483315236E-49829 3.932849295310105E-249134 0.000000000000000E+00 
64 3.692977734342904E-49816 5.612289229252236E-249071 0.000000000000000E+00 
65 1.551639758829963E-49803 7.348709755548374E-249008 0.000000000000000E+00 
66 6.409662837661006E-49791 8.839598195862173E-248945 0.000000000000000E+00 
67 2.603807470677307E-49778 9.779146263852696E-248882 0.000000000000000E+00 
68 1.040419100857080E-49765 9.960890865173310E-248819 0.000000000000000E+00 
69 4.090035440711003E-49753 9.351729890279838E-248756 0.000000000000000E+00 
70 1.582180293712377E-49740 8.100959356349636E-248693 0.000000000000000E+00 
71 6.023976467166260E-49728 6.481461285373940E-248630 0.000000000000000E+00 
72 2.257848143210626E-49715 4.794355610232141E-248567 0.000000000000000E+00 
73 8.332469881793093E-49703 3.281900129048279E-248504 0.000000000000000E+00 
74 3.028317813240426E-49690 2.080960583456736E-248441 0.000000000000000E+00 
75 1.084068564481487E-49677 1.223320781460951E-248378 0.000000000000000E+00 
76 3.823107211532336E-49665 6.673274411727846E-248316 0.000000000000000E+00 
77 1.328481269500069E-49652 3.380911293824206E-248253 0.000000000000000E+00 
78 4.549320060795159E-49640 1.592168613949810E-248190 0.000000000000000E+00 
79 1.535538273338806E-49627 6.975250787382398E-248128 0.000000000000000E+00 
80 5.109367012692722E-49615 2.845064371233084E-248065 0.000000000000000E+00 
81 1.676228916372051E-49602 1.081242828292578E-248002 0.000000000000000E+00 
82 5.422819389127708E-49590 3.831618832470274E-247940 0.000000000000000E+00 
83 1.730241559125985E-49577 1.267039908952030E-247877 0.000000000000000E+00 
84 5.445537865213108E-49565 3.912555484235584E-247815 0.000000000000000E+00 
85 1.690785184465289E-49552 1.129012542171133E-247752 0.000000000000000E+00 
86 5.179757383695183E-49540 3.046517583235753E-247690 0.000000000000000E+00 
87 1.565892955810882E-49527 7.692490177917440E-247628 0.000000000000000E+00 
88 4.672005903756732E-49515 1.818752120625439E-247565 0.000000000000000E+00 
89 1.375906908278420E-49502 4.029042552937651E-247503 0.000000000000000E+00 
90 4.000124584482173E-49490 8.368048463468105E-247441 0.000000000000000E+00 
91 1.148180093399285E-49477 1.630446914520325E-247378 0.000000000000000E+00 
92 3.254247618431273E-49465 2.982013303816133E-247316 0.000000000000000E+00 
93 9.108485899313214E-49453 5.122565850011618E-247254 0.000000000000000E+00 
94 2.517947228874684E-49440 8.269699293751187E-247192 0.000000000000000E+00 
95 6.875442599293004E-49428 1.255335762775329E-247129 0.000000000000000E+00 
96 1.854624682413082E-49415 1.792820356970885E-247067 0.000000000000000E+00 
97 4.942645757416172E-49403 2.410205234268651E-247005 0.000000000000000E+00 
98 1.301537788058926E-49390 3.051690646513090E-246943 0.000000000000000E+00 
99 3.386825005866059E-49378 3.640997547090027E-246881 0.000000000000000E+00 
100 8.709863279110431E-49366 4.095559949488989E-246819 0.000000000000000E+00 
101 2.213887585748410E-49353 4.345446658218085E-246757 0.000000000000000E+00 
102 5.562469286920182E-49341 4.351056556590642E-246695 0.000000000000000E+00 
103 1.381620845747759E-49328 4.113400383343573E-246633 0.000000000000000E+00 
104 3.392812566456428E-49316 3.673296104849945E-246571 0.000000000000000E+00 
105 8.237973006806487E-49304 3.099976639337699E-246509 0.000000000000000E+00 
106 1.977922959672686E-49291 2.473451830489844E-246447 0.000000000000000E+00 
107 4.696400814615219E-49279 1.866733716915253E-246385 0.000000000000000E+00 
108 1.102872377181692E-49266 1.333161905090552E-246323 0.000000000000000E+00 
109 2.561689762393295E-49254 9.013412799205907E-246262 0.000000000000000E+00 
110 5.885795127993699E-49242 5.771415002061308E-246200 0.000000000000000E+00 
111 1.337816629416347E-49229 3.501382432644708E-246138 0.000000000000000E+00 
112 3.008401112670048E-49217 2.013424279457849E-246076 0.000000000000000E+00 
113 6.693554866402735E-49205 1.097844261794676E-246014 0.000000000000000E+00 
114 1.473647038298505E-49192 5.678373774510584E-245953 0.000000000000000E+00 
115 3.210544657463141E-49180 2.787084743944053E-245891 0.000000000000000E+00 
116 6.922213630919370E-49168 1.298618511230816E-245829 0.000000000000000E+00 
117 1.477148687398312E-49155 5.746159312795643E-245768 0.000000000000000E+00 
